127.0.0.1 - - [09/Jan/2023:10:14:38 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /resources/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /resources/image/main/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /resources/image/main/logo1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /resources/image/main/slider2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /resources/image/footer_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /resources/image/main/slider1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:14:39 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:22:57 +0900] "GET /board/list HTTP/1.1" 200 9474
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:02 +0900] "GET /member/loginForm HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:06 +0900] "POST /member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:06 +0900] "GET / HTTP/1.1" 200 11322
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:06 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:06 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:09 +0900] "GET /board/list HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:12 +0900] "GET /board/detail.do?bid=11 HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:15 +0900] "GET /board/detail.do?bid=4 HTTP/1.1" 200 5978
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:17 +0900] "GET /board/detail.do?bid=2 HTTP/1.1" 200 6014
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:22 +0900] "GET /board/detail.do?bid=9 HTTP/1.1" 200 5978
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:25:54 +0900] "GET /free/list HTTP/1.1" 200 6536
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:25:54 +0900] "GET /resources/datatables/datatables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:25:54 +0900] "GET /resources/datatables/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:25:56 +0900] "GET /qna/list HTTP/1.1" 200 10896
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:03 +0900] "GET /qna/detail?qno=10 HTTP/1.1" 200 6438
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:36 +0900] "GET /member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:36 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:36 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:36 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:36 +0900] "GET /member/loginForm HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:37 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:37 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:37 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:26:39 +0900] "GET /qna/list HTTP/1.1" 200 10481
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:27:00 +0900] "GET /free/list HTTP/1.1" 200 6503
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:29:54 +0900] "GET /member/agree HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:30:03 +0900] "GET /member/join.do HTTP/1.1" 200 11475
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:33:32 +0900] "GET /member/join.do HTTP/1.1" 200 11622
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:33:57 +0900] "GET /member/join.do HTTP/1.1" 200 11685
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:33:57 +0900] "GET /member/join.do HTTP/1.1" 200 11685
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:35:06 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:35:06 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:35:06 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:35:07 +0900] "GET /member/loginForm HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:36:11 +0900] "GET /member/loginForm HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:36:12 +0900] "GET /member/loginForm HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:36:27 +0900] "GET /member/loginForm HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:36:28 +0900] "GET /member/loginForm HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:36:29 +0900] "GET /member/loginForm HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:10 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:12 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:12 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:12 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:12 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:14 +0900] "GET /member/agree HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:22 +0900] "GET /member/join.do HTTP/1.1" 200 11685
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:24 +0900] "GET / HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:24 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:24 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:37:25 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:40:56 +0900] "GET /qna/list HTTP/1.1" 200 10848
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:18 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:20 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:21 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:21 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:21 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:21 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:21 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:22 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:22 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:22 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:22 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:22 +0900] "GET /qna/list HTTP/1.1" 200 10836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:27 +0900] "GET /member/loginForm HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:43:36 +0900] "GET /free/list HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:45:14 +0900] "GET /free/list HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:45:15 +0900] "GET /free/list HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:45:15 +0900] "GET /free/list HTTP/1.1" 200 6762
